date,open,high,low,close,volume
6/28/2016,109.94,111.58,109.56,110.31,793860
6/29/2016,111.62,112.88,110.34,112.52,554410
6/30/2016,112.37,113.84,111.42,113.84,537866
7/1/2016,113.91,115.31,113.11,113.52,566403
7/5/2016,113.41,114.17,112.48,112.51,542896
7/6/2016,112.11,113.89,110.86,113.79,703232
7/7/2016,113.63,114.88,112.96,113.77,539993
7/8/2016,114.99,117.2,114.47,117.13,761820
7/11/2016,117.36,118.26,116.375,116.85,430545
7/12/2016,117.49,118.02,116.44,117.81,441645
7/13/2016,117.62,118.4999,116.36,116.36,543748
7/14/2016,117.24,117.24,115.75,116.25,534823
7/15/2016,116.5,116.54,114.87,116.37,775894
7/18/2016,116.36,117.24,115.43,115.82,589098
7/19/2016,115.87,122.34,115.02,120.6,2291439
7/20/2016,121.75,122.24,120,121.47,1386561
7/21/2016,121.89,124.76,121.21,121.86,1441682
7/22/2016,121.46,123.94,121.18,123.24,893013
7/25/2016,122.25,124.21,121.1,123.79,603620
7/26/2016,124.13,125.87,123.3,124.06,831865
7/27/2016,124.1,125.16,122.95,123.09,751096
7/28/2016,122.33,123.3525,120.46,123.05,1003711
7/29/2016,122.89,123.68,122.21,123.42,762217
8/1/2016,123.56,125.06,123.14,123.7,1095480
8/2/2016,122.32,123.79,122,122.91,855577
8/3/2016,122.48,123.98,122.2666,123.47,491330
8/4/2016,123.14,123.83,123.09,123.33,425991
8/5/2016,123.67,125.77,122.97,125.65,569916
8/8/2016,125.63,126.68,125.55,126.66,677626
8/9/2016,126.92,127.13,125.9,126.43,480921
8/10/2016,126.61,126.67,125.78,126.1,444349
8/11/2016,126.05,126.85,124.8,125.03,1033288
8/12/2016,125.11,125.75,124.75,124.8,607038
8/15/2016,124.71,125.66,123.8285,124.75,863656
8/16/2016,124.23,124.88,123.13,123.39,921432
8/17/2016,123.75,124.58,122.53,123.32,664011
8/18/2016,123.06,124.34,122.72,123.66,580856
8/19/2016,123.16,124.647,123.16,124.24,618410
8/22/2016,123.79,124.42,123.5128,123.98,534991
8/23/2016,124.8,125.36,124.58,124.91,408772
8/24/2016,125.14,125.15,124.11,124.39,330636
8/25/2016,124.09,125.01,123.55,124.38,245619
8/26/2016,124.38,125.31,123.49,124.04,334311
8/29/2016,124.22,125.49,123.61,124.81,392296
8/30/2016,124.79,125.77,124.09,124.36,417477
8/31/2016,123.93,124.06,121.33,122.73,642429
9/1/2016,122.42,123.76,122.33,123.64,538207
9/2/2016,123.97,124.44,122.89,123.89,291773
9/6/2016,124.23,124.81,121.59,124.43,433730
9/7/2016,123.55,124.78,120.11,120.42,959564
9/8/2016,120.25,120.84,119.01,119.7,823368
9/9/2016,119.21,119.96,118.02,118.05,892514
9/12/2016,117.84,118.92,117.1,118.76,675912
9/13/2016,117.87,118.3,115.631,116.84,950277
9/14/2016,119.06,119.44,117.45,117.94,820199
9/15/2016,117.77,119.65,117.02,119.02,568718
9/16/2016,118.39,119.5,117.56,118.55,761474
9/19/2016,118.94,120.11,118.5,118.91,406158
9/20/2016,119.08,119.99,118.44,118.45,399888
9/21/2016,118.58,119.88,118.48,119.34,358233
9/22/2016,120.14,121.43,119.45,121.25,541594
9/23/2016,121.56,122,120.24,120.49,314123
9/26/2016,120.15,121.22,119.23,119.45,239953
9/27/2016,119.02,123.15,118.27,122.86,852130
9/28/2016,123.08,124.53,121.83,124.03,717445
9/29/2016,124.01,124.675,123.37,123.4,447924
9/30/2016,123.88,125,123.55,124.64,438930
10/3/2016,124.16,124.8,123.91,124.38,400644
10/4/2016,124,125.47,123.96,124.74,559615
10/5/2016,124.69,125.97,124.315,125.5,448426
